OBJECTID,Projects,Ward,Units,Year Built,Address,City,State,Zipcode,Management Company,Property Manager Contact,Sponsored By,Sponsory Contact,Bondholder,Loan Status (Bonds Redeemed / Active / Recently Converted),Risk Share / Non Risk Share,Renovation / New Construction Year,Building Type,Construction Type,Occupancy Type,Subsidized Programs,Loan Closing Date,Original Loan Balance,Maturity Date,Compliance Period End Date,Asset Manager,MAR_LATITUDE,MAR_LONGITUDE,MARID,GlobalID,EditDate,x,y
145,SOME II - Scattered Site II (The NY/NJ Building),Ward 6,101,1900,216 New York Ave NW,Washington,DC,,SOME,"
DeChanta Jackson - djackson@some.org
Main: 202-797-8806 
Direct: 202-753-8597
","Scattered Site II, LLC ","Suzanne Bond, sbond@some.org","CITIBANK, N.A.",Active,Non Risk Share,2013,Low Rise,Acquisition / Rehab,Homeless Veterans & Individuals 100 @ 60% AMI or less,HAP Contract,4/26/2013 12:00:00 AM,14912000,4/1/2033,4/22/2028 12:00:00 AM,Sidney,38.90526879,-77.01429947,285530,5b103511-66e6-4dc7-a37a-d1de62cb29ce,10/13/2022 8:33:29 PM,398759.898676169,137489.412185794
146,SOME II - Scattered Site II (The Fendall Building),Ward 8,101,1942,"2025 Fendall St SE,",Washington,DC,,SOME,"
DeChanta Jackson - djackson@some.org
Main: 202-797-8806 
Direct: 202-753-8597
","Scattered Site II, LLC ","Suzanne Bond, sbond@some.org","CITIBANK, N.A.",Active,Non Risk Share,2013,Low Rise,Acquisition / Rehab,Homeless Veterans & Individuals 100 @ 60% AMI or less,HAP Contract,4/26/2013 12:00:00 AM,14912000,4/1/2033,4/22/2028 12:00:00 AM,Sidney,38.86432598,-76.98022843,52616,9a8095d0-7835-4c03-89a8-11dd3ab0e090,10/13/2022 8:33:29 PM,401716.117715359,132944.533734006
147,SOME II - Scattered Site II (The Mellon Building),Ward 8,101,1941,523-525 Mellon St SE,Washington,DC,,SOME,"
DeChanta Jackson - djackson@some.org
Main: 202-797-8806 
Direct: 202-753-8597
","Scattered Site II, LLC ","Suzanne Bond, sbond@some.org","CITIBANK, N.A.",Active,Non Risk Share,2013,Low Rise,Acquisition / Rehab,Homeless Veterans & Individuals 100 @ 60% AMI or less,HAP Contract,4/26/2013 12:00:00 AM,14912000,4/1/2033,4/22/2028 12:00:00 AM,Sidney,38.84645898,-76.9991873,278559,8df37448-d700-46e8-8d6d-f60350093ed6,10/13/2022 8:33:29 PM,400070.747584667,130960.983683715
148,SOME North Capitol ,Ward 5,139,2021,1515 North Capitol Street NE,Washington ,DC,20002,SOME,,"SOME, Inc. ",,Freddie Mac,Under Construction,Non Risk Share,2021,High Rise 14 Floors,New Construction,Former Homeless/ Single Adults - 60% @ 30% and 40% @ 50% AMI,SOME Social Services,,,,,Sidney,38.91003245,-77.0086416,336620,c2e7478d-77d6-4a73-85cc-82238caaef99,10/13/2022 8:33:29 PM,399250.697903346,138018.155576294
149,SOME Scattered Site III (Anna Cooper),Ward 2,87,,1338 R Street NW ,Washington,DC,,SOME,"Suzanne Bond , sbond@some.org","SOME, Inc. ","Suzanne Bond, sbond@some.org",,Under Construction,Non Risk Share,2020,Mid Rise,Acquisition / Rehab,Homeless Adults & Seniors,,4/24/2020 12:00:00 AM,10209969,,4/21/2035 12:00:00 AM,Sidney,38.91236859,-77.03115054,242888,99f20167-0dd1-4a8b-acf5-37257e418ad9,10/13/2022 8:33:29 PM,397298.549000915,138277.911828941
150,SOME Scattered Site III (Walter Reed - Building 17),Ward 4,87,,"1359 Aspen Street, NW ",Washington,DC,,SOME,"Suzanne Bond , sbond@some.org","SOME, Inc. ","Suzanne Bond, sbond@some.org",,Under Construction,Non Risk Share,2020,Mid Rise,Acquisition / Rehab,Homeless Adults & Seniors,,4/24/2020 12:00:00 AM,10209969,,4/21/2035 12:00:00 AM,Sidney,38.97246496,-77.03188179,335188,5ccc2077-c406-431d-978e-961afea6ad20,10/13/2022 8:33:29 PM,397237.458590546,144949.163580188
151,SOME Spring Road,Ward 4,37,1923,"1435 Spring Road, NW",Washington,DC,20010,SOME,"Suzanne Bond , sbond@some.org","SOME, Inc. ","Suzanne Bond, sbond@some.org","CITIBANK, N.A.",Under Construction,Non Risk Share,2018,Mid Rise,Acquisition / Rehab,Homeless 100 @ 30% AMI ,LRSP,5/10/2017 12:00:00 AM,10200000,6/1/2050,5/6/2032 12:00:00 AM,Sidney,38.93766746,-77.03439454,259014,6741aa3f-0cc8-48fb-ab23-96d5a9eb1a10,10/13/2022 8:33:29 PM,397018.258943303,141086.4023087
152,South Capitol Apts ,Ward 8,195,2018,4001 South Capitol St SE,washington,DC,20032,The Micheals Organization,"Charles Durnin, cdurnin@tmo.com",South Capitol Improvements LLC,"Mike Pilla , mpilla@tmo.com",JPMORGAN CHASE BANK NA,Under Construction,Non Risk Share,,Mid Rise 6 Floors,New Construction,Residential Families 100 @ 60% AMI or less,"LRSP, PSH",2/10/2017 12:00:00 AM,30000000,8/1/2019 - 8/1/2037,2/7/2032 12:00:00 AM,Clarence,38.83092483,-77.00802392,276615,cfc56d7d-ff11-48f4-b4e3-91fd1b5505b4,10/13/2022 8:33:29 PM,399303.498244489,129236.617126839
153,Southview I & II (Orchard Park Apartments),Ward 8,257,1959,"3627 22nd Street, SE",Washington,DC,20020,WC Smith,Larvetta Tyree - orchardpark@wcsmith.com,Dawnn Leary /  WC Smith,,FEDERAL HOME LOAN MORTGAGE CORPORATION,Active,Non Risk Share,2008,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,Section 8 HAP Contract,6/1/2006 12:00:00 AM,13200000,6/1/2048,5/28/2021 12:00:00 AM,Clarence,38.84524008,-76.97298286,299401,a59ebffa-6293-40c8-a38a-101eec5488d0,10/13/2022 8:33:29 PM,402345.56760343,130826.023986929
154,Spring Flats Family,Ward 4,87,2021,"1125 Spring Rd NW, ",Washington,DC,20010,Habitat America,"Michelle Farrell, mfarrell@habitatamerica.com","Victory Housing, Inc/ Brinshore Development, LLC/ Bank of America",,,Under Construction,Non Risk Share ,2020,Mid Rise 6 Floors,New Construction,Residential Families,,9/15/2020 12:00:00 AM,19114000,,9/12/2035 12:00:00 AM,Sidney,38.9361746,-77.02847271,283920,692f9712-c83a-47a2-8640-4fc260b8a2e6,10/13/2022 8:33:29 PM,397531.618292565,140920.504997529
155,Spring Flats Senior ,Ward 4,43,2021,1125 Spring Rd NW,Washington,DC,20010,Habitat  America,"Michelle Farrell, mfarrell@habitatamerica.com",Victory Housing ,,,Under Construction,Non Risk Share,2020,Garden / Townhouse,New Construction,Seniors 55+,,4/29/2020 12:00:00 AM,7092600,,4/26/2035 12:00:00 AM,Sidney,38.9361746,-77.02847271,283920,2857e156-1830-4a84-86a8-ce6684dbc13f,10/13/2022 8:33:29 PM,397531.618292565,140920.504997529
156,Sr. Housing @ O Street aka Hodge On 7th,Ward 2,90,2014,"1490 7th St NW,",Washington,DC,20001,Bozzuto,"Lisa Halliwill 301-623-1577, lhalliwill@bozzuto.com","Roadside Development , LLC ","Bozzuto Management,",JPMORGAN CHASE BANK NA,Active,Non Risk Share,2012,Mid Rise 9 Floors,Acquisition / New Construction,Seniors 55+ 100 @ 60% AMI or less,,3/5/2013 12:00:00 AM,13010000,9/1/2033,3/1/2028 12:00:00 AM,Sidney,38.90942339,-77.02213775,310635,5f3bd417-03e1-47da-8b8c-bff5bcc0ae71,10/13/2022 8:33:29 PM,398080.138198221,137950.742291076
157,St. Elizabeths ,Ward 8,252,2018,"1100 Alabama Ave SE,",washington,DC,20032,Flaherty & Collins Management,"Duane Miller 202-802-1160, dmiller@flco.com","Flaherty Collins , AEDC",Stan,Western Alliance Business Trust,Under Construction,Non Risk Share,2018,Mid Rise 4 Floors,Acquisition / Rehab,Residential Families 80 @ 50% AMI and Market Rate ,"LRSP, PSH",10/26/2018 12:00:00 AM,52400000,11/1/2061,10/22/2033 12:00:00 AM,Clarence,38.84826586,-76.98840517,307946,300d23db-6e48-4043-ac50-109fe43aabf0,10/13/2022 8:33:29 PM,401006.707531765,131161.623585297
158,St. Paul Senior Living,Ward 8,56,2006,"114 Wayne Place, SE",Washington,DC,20032,American Apartment Management,"Deedra Burroughs, deedra.burroughs@aamci.com",,Pansy Douglas 865-525-7500 ext 238,,Active,Risk Share ,2014,Low Rise 4 Floors ,,Seniors 55+,,8/19/2003 12:00:00 AM,4180000,,8/15/2018 12:00:00 AM,Clarence,38.83574953,-77.00535198,149796,c9290d41-5e51-4b86-9523-c1d7d4a08009,10/13/2022 8:33:29 PM,399535.528441827,129772.174358097
159,ST. Stephens (4000 Benning Road),Ward 7,71,2017,"4000 Benning Road, NE",Washington,DC,20019,Pennrose Management,"Alexis Paone 267-386-8722, apaone@pennrose.com","Pennrose, LLC ","Gabriela Mosquera, 267-386-8724","CITIBANK, N.A.",Active,Non Risk Share,,Mid Rise 4 Floors,New Construction,Residential Families 100 @ 50% AMI or less,,2/1/2016 12:00:00 AM,10500000,2/1/2049,1/28/2031 12:00:00 AM,Clarence,38.89420842,-76.94629405,312333,71c9d9cc-4139-481d-a013-ad6cb4c916a8,10/13/2022 8:33:29 PM,404659.236749754,136262.895966758
160,Stanton Glen,Ward 8,378,2018,"3040 Stanton Road, SE",Washington,DC,20020,Castle Management,"Tina Gaffney, tinagaffney@castlemgmt.com","Kisha/Castle Development, Inc.",,,Redeemed,Non Risk Share,2018,Garden,,,,12/1/1999 12:00:00 AM,25000000,,11/27/2014 12:00:00 AM,Clarence,38.85169595,-76.98003585,287417,746ebd04-3f8e-49c6-a394-a25551472c00,10/13/2022 8:33:29 PM,401733.137780175,131542.513281981
161,Stanton Square Apartments ,Ward 8,121,2017,2395 Pomeroy Rd,Washington,DC,20020,Horning Brothers,"Jeff Milota , jmilota@horningbrothers.com","Sunrise Development Corporation
Horning Brothers","Amber Carter, acarter@horningbrothers.com",JPMORGAN CHASE BANK NA,Under Construction,Non Risk Share,2019,Garden,New Construction,Residential Families 100 @ 50% AMI or less,"LRSP, PSH",3/29/2019 12:00:00 AM,23098000,10/29/2039,3/25/2034 12:00:00 AM,Clarence,38.85574008,-76.98658213,317245,993e312a-365c-4227-ab5d-649ea98804f1,10/13/2022 8:33:29 PM,401164.837787354,131991.336576902
162,Takoma Place Apts ,Ward 4,106,,"6676 Georgia Ave, NW",Washington,DC,20012,Winn Residential,Felicia White-  fwhite@winnco.com (Senior Property Manager)  Stacie Ringold sringold@winnco.com,"NHP Foundation , ","David Eubanks, deubanks@nhpfoundation.org",Western Alliance Business Trust,Under Construction,Non Risk Share,2018,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI,,11/30/2018 12:00:00 AM,18125000,11/1/2060,11/26/2033 12:00:00 AM,Clarence,38.97209125,-77.0273625,253375,75b3ea8c-708a-43d8-b80d-9c2aff02ba0f,10/13/2022 8:33:29 PM,397629.068500494,144907.551128588
163,The Avenue (Park Morton),Ward 1,83,2012,"3506 Georgia Avenue, NW",Washington,DC,20010,Winn Residential,Michael Milko  - mmilko@winnco.com (Senior Property Manager) ,"Takoma Spring Place LP,",,CEDE & CO,Active,Non Risk Share,2011,Mid Rise 7 Floors,New Construction,Residential Families 100 @ 60% AMI or less,ACC,12/6/2010 12:00:00 AM,3640000,1/1/2044,12/2/2025 12:00:00 AM,Sidney,38.93341594,-77.02428122,302090,831c141d-986e-4fff-aeff-53674e4b1f51,10/13/2022 8:33:29 PM,397894.938405844,140614.16472253
164,The Beacon Center,Ward 4,99,2018,"6100 Georgia Ave, NW",Washington,DC,20011,The Community Builders,"Tamar Shaw, tamar.shaw@tcbinc.org, 202-795-2295","Beacon Center, LLC c/o The Community Builders","Jackie Alexander 202-552-2503, jalexander@tcbinc.org",JPMORGAN CHASE BANK NA,Active,Non Risk Share,2018,Garden,New Construction,Residential Families 100 @ 60% AMI or less,LRSP,9/16/2016 12:00:00 AM,21600000,9/1/2021 - 9/1/2041,9/13/2031 12:00:00 AM,Sidney,38.96416661,-77.02820581,253200,02329b67-7660-42eb-8e8e-3a1b527e66e8,10/13/2022 8:33:29 PM,397555.718650663,144027.86367165
165,The Bixby aka Lofts at Capitol Quarter,Ward 8,195,2015,601 L Street SE,Washington,DC,20003,Vantage,"Jill Boyd 301-280-6620, jboyd@urban-atlantic.com",Forest City/ Urban Atlantic - Square 882 N Owner LLC and Square 882N Affordable L.P. ,"LaToya Hardaway, lhardaway@vmimgmt.com","CITIBANK, N.A.",Active,Non Risk Share,2012,Mid Rise 5 Floors ,Acquisition / New Construction,Residential Families 20% @ 50% AMI and 80% Market Rate ,,12/20/2013 12:00:00 AM,42000000,12/1/2046,12/16/2028 12:00:00 AM,Clarence,38.87726387,-76.99728563,289693,0a285081-02de-4741-a86a-3c97a0ed84b1,10/13/2022 8:33:29 PM,400235.727967141,134380.553334459
166,The Clara,Ward 8,81,2021,"2323 Martin Luther King Jr. Avenue, Washington, DC 20020",Washington,DC,20020,,,,,,Under Construction,,,,,,,9/29/2021 12:00:00 AM,19738000,,9/25/2036 12:00:00 AM,,38.86321324,-76.99195966,48539,9d05dc52-a958-457d-b182-09bb71eb4b85,10/13/2022 8:33:29 PM,400698.00768226,132820.85640967
167,The Gregory (Highland Terrace),Ward 8,124,1966,"852 Barnaby Street, SE",Washington,DC,20032,Vesta,Tracy Joyce tjoyce@vestacorp.com,Vesta Corporation,,,Redeemed,,,,,,,11/1/1999 12:00:00 AM,4500000,,10/28/2014 12:00:00 AM,Sidney,38.83230413,-76.99130573,295928,4af6e781-6e60-4903-9597-fb440d7cab78,10/13/2022 8:33:29 PM,400755.08803954,129389.733982172
168,The Groves at Parkside,Ward 7,186,2017,"600 Kenilworth Terrace, NE",Washington,DC,20019,Edgewood,Tamike Mcllwain - groveparksidemngr@emcmgmt.com,Gilbane Development Company / CityInterests LLC,,WELLS FARGO MUNICIPAL CAPITAL,Active,Non Risk Share,2017,Mid Rise 6 Floors,New Construction,Residential Families 95% @ 60% & 5% @ 30% AMI,,12/23/2014 12:00:00 AM,21000000,11/1/2033,12/19/2029 12:00:00 AM,Clarence,38.89861997,-76.95051815,311058,a7c287e5-50ce-4a80-a576-0fbfba4c59d9,10/13/2022 8:33:29 PM,404292.526940552,136752.405798111
169,The Heights at Georgia Avenue (32 Thirty-Two Apts),Ward 1,69,2012,"3232 Georgia Avenue, NW",Washington,DC,20010,Residential One,"Thelma Kennedy, tkennedy@res1.net",Adrian Washington c/o 3232 Georgia Residential LLC,"Thelma Kennedy , tkennedy@res1.net","CITIBANK, N.A.",Active,Non Risk Share,2011,Mid Rise 6 Floors,Acquisition / New Construction,Residential Families 100 @ 60% AMI or less,,12/21/2011 12:00:00 AM,12377163,1/1/2045,12/17/2026 12:00:00 AM,Sidney,38.93081424,-77.02377529,308223,f35526ce-0e5c-42ef-829d-49479c8305fb,10/13/2022 8:33:29 PM,397938.72893591,140325.341982242
170,The Nannie Helen at 4800,Ward 7,70,2013,"4800 Nannie Helen Burroughs Ave, NE",Washington,DC,20019,MBM,"James Matheny 610-376-1824, jmatheny@mccormackbaron.com","A Wash & Associates, Inc.","Anthony L. Wash 202-388-4000, awash@awashassociates.com",CEDE & CO,Active,Non Risk Share,2012,Mid Rise 5 Floors ,New Construction,Residential Families 100 @ 60% AMI or less,ACC,4/30/2013 12:00:00 AM,550000,12/1/2044,4/26/2028 12:00:00 AM,Clarence,38.89911152,-76.93344534,302568,8cabfc83-0af7-4bbc-8c4f-9a70646b2515,10/13/2022 8:33:29 PM,405773.476730658,136807.912958551
171,The Solstice I  (3534 East Capitol),Ward 7,137,2019,"3534 East Capitol Street, NE",Washington,DC,20019,Kettler,"Todd Bolling 703-852-5659, tbolling@kettler.com","3534 East Cap Venture, LLC",James Murphy,JPMORGAN CHASE BANK NA,Active,Non Risk Share,2019,Low Rise,New Construction,Residential Families 100 @ 50% AMI or less,LRSP,11/2/2017 12:00:00 AM,21500000,5/1/2038,10/29/2032 12:00:00 AM,Sidney,38.89010789,-76.95318981,287970,84062859-8bf4-459d-814b-a142fb2ea84d,10/13/2022 8:33:29 PM,404061.256923511,135807.37572699
172,The Solstice II (3500 East Capitol),Ward 7,95,2019,3500 E Capitol St. NE,washington,DC,20019,Kettler,"Todd Bolling 703-852-5659, tbolling@kettler.com","MidAtlantic Realty Partners &
Taylor Adams Associates",Zeinab Abourawi 202-838-1262,JPMORGAN CHASE BANK NA,Under Construction,Non Risk Share,2019,Mid Rise 4 Floors,New Construction,Residential Families 100 @ 50% AMI or less,"LRSP, PSH",8/29/2019 12:00:00 AM,18600000,3/1/2040,8/25/2034 12:00:00 AM,Sidney,38.89018269,-76.9551041,331864,19cca592-465e-4cbc-8886-eb47fe8fd0ba,10/13/2022 8:33:29 PM,403895.17695498,135815.595695344
173,The Strand Residences ,Ward 7,86,2019,"5127 Nannie Helen Burroughs Avenue, N.E.",Washington,DC,20019,WC Smith,"Clare McCabe , cjmccabe@wcsmith.com",The NHP Foundation,"Scott Barkan, sbarkan@nhpfoundation.org",CEDE & CO,Under Construction,Non Risk Share,,Mid Rise 6 Floors,New Construction,Residential Families 100 @ 60% AMI or less,LRSP,7/1/2019 12:00:00 AM,19500000,2/1/2039,6/27/2034 12:00:00 AM,Clarence,38.89812328,-76.9263113,288522,bde8c323-9a15-4578-a71f-f79fb2ab4dc1,10/13/2022 8:33:29 PM,406392.406881151,136698.685820463
174,The Summit at St. Martin's,Ward 5,178,2010,"116 T Street, NE",Washington,DC,20002,TM Associates,"Robert Cunningham 240-683-0300 ext.722,rcunningham@tmamgroup.com",St. Martin's Apartments LP c/o CCS Housing Inc.,"Robert Cunningham, 240-683-0300 ext 722",,Active,Non Risk Share,2010,Mid Rise 5 Floors ,New Construction,Residential Families 100 @ 60% AMI or less,Section 8 HAP Contract,9/1/2008 12:00:00 AM,20339500,,8/29/2023 12:00:00 AM,Sidney,38.9157539,-77.00531498,285896,9ddc3b15-fb45-44a5-a939-266fd28e8024,10/13/2022 8:33:29 PM,399539.25812866,138653.261680207
175,The Yards (Foundry Lofts),Ward 8,174,1917,"301 Tingey St SE,",Washington,DC,20003,Brookfield Properties,"France, Steven <steven.france@brookfieldpropertiesmultifamily.com>","Forest City / SEFC 160, LLC",,,Redeemed,Non Risk Share,2010,Mid Rise 4 Floors,Acquisition / Rehab / Construction,Residential Families 20% @ 50% AMI and 80% Market Rate ,,8/19/2010 12:00:00 AM,49690000,,8/15/2025 12:00:00 AM,Clarence,38.87469992,-77.00158226,307282,32ca7713-1a2c-4cbd-b4b4-f7605b21350e,10/13/2022 8:33:29 PM,399862.898020998,134095.933285764
176,The Yards D Building  (Twelve 12),Ward 8,45,2014,"1212 4th St SE, ",Washington,DC,20003,Brookfield Properties,"France, Steven <steven.france@brookfieldpropertiesmultifamily.com>",Forest City,,,Redeemed,Non Risk Share,2016,,New Construction,Residential Families 20% @ 50% AMI and 80% Market Rate ,,10/18/2012 12:00:00 AM,8500000,,10/15/2027 12:00:00 AM,Clarence,38.87574472,-77.00024166,309485,272a88b5-bf59-41a2-8059-71c7d6edfd28,10/13/2022 8:33:29 PM,399979.228375926,134211.912768678
177,The Yards Parcel L2 Project (The Estate) ,Ward 8,264,2019,"227 Water Street,  SE",washington,DC,20003,Brookfield Properties,"Samantha Martin , samantha.martin@brookfieldproperties.com","FC 227, LLC","Samantha Martin, samatha.martin@brookfieldproperties.com","CITIBANK, N.A.",Active,Non Risk Share,2019,High Rise,New Construction,Residential Families 20% @ 50% AMI and 80% Market Rate ,,,,,12/27/1914 12:00:00 AM,Clarence,38.87381522,-77.00229119,318653,44e35bf5-bee3-4c4d-bda4-fc7d2e5d5695,10/13/2022 8:33:29 PM,399801.378428009,133997.726263406
178,The Yards Parcel N Project (The Arris),Ward 8,327,2016,"1331 Fourth Street, SE",Washington,DC,20003,Brookfield Properties,"Ketan Patel, ketan.patel@brookfieldproperties.com","FC 1331, LLC : (FC 1331 Member, LLC & FC Cactus Residential Development Fund, LLC)","Samantha Martin, samatha.martin@brookfieldproperties.com",HARE & CO. FBO BANA,Active,Non Risk Share,2016,High Rise 11 Floors,New Construction,Residential Families 20% @ 50% AMI and 80% Market Rate ,,8/26/2014 12:00:00 AM,95000000,8/1/2047,8/22/2029 12:00:00 AM,Clarence,38.87428995,-77.00077303,310978,bcddf267-d5aa-446a-a854-ce871f2b991c,10/13/2022 8:33:29 PM,399933.118254122,134050.422634632
179,The Yards Parcel O2 Project (The Guild) ,Ward 8,191,2019,"401 Tingey Street, SE",Washington,DC,20003,Brookfield Properties,"Samantha Martin , samantha.martin@brookfieldproperties.com","FC 1346, LLC","Samantha Martin, samatha.martin@brookfieldproperties.com","CITIBANK, N.A.",Active,Non Risk Share,2019,High Rise,New Construction,Residential Families 20% @ 50% AMI and 80% Market Rate ,,4/7/2017 12:00:00 AM,55000000,4/1/2051,4/3/2032 12:00:00 AM,Clarence,38.8746996,-77.00011305,309407,332e5f65-4fb9-4005-b4ee-c38c7492068d,10/13/2022 8:33:29 PM,399990.388149121,134095.896576672
180,Triangle View for Seniors  (East Gate Seniors),Ward 7,100,2006,"3600 B Street, SE",Washington,DC,20019,Kettler,,Eastgate Family Rental Limited Partnership c/o A&R Development / Boston Capital Corporation,,,Redeemed,Non Risk Share,2006,,New Construction,Seniors 62+ 100 @ 60% AMI or less,,10/26/2005 12:00:00 AM,6400000,,10/22/2020 12:00:00 AM,,38.88810641,-76.95215226,301154,b8144925-3e61-4098-9fbd-297e7568c759,10/13/2022 8:33:29 PM,404151.386918423,135585.242574223
181,Trinity Plaza ,Ward 8,49,2013,"21 Atlantic St SW, ",Washington,DC,20032,Columbus Property Management,"Antionette Wilson, awilson@columbuspm.org, 202-294-4545",Trinity Plaza LLC, Cheryl Parker- Hamilton 202-347-2257,BANC OF AMERICA PUBLIC CAPITAL,Active,Non Risk Share,2005,Low Rise 4 Floors,New Construction,Residential Families 100 @ 60% AMI or less,,10/29/2013 12:00:00 AM,9000000,10/1/2050,10/25/2028 12:00:00 AM,Clarence,38.83164449,-77.0084316,52006,be33c6a7-6258-41f2-91b2-e206b2c9b68a,10/13/2022 8:33:29 PM,399268.107649961,129316.507404504
182,Trinity Towers***,Ward 1,122,1929,"3023 14th Street, NW",Washington,DC,20009,E & G,"Carlos Rios 571-488-6683, crios@eandggroup.com","Trinity Towers Apartments, LP ",Carlos Rios 571-488-6683,,Active,Risk Share ,,High Rise,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,,6/27/2002 12:00:00 AM,9200000,,6/23/2017 12:00:00 AM,Clarence,38.92814931,-77.03218685,284554,dbb14b91-04c1-4e32-8579-911525661dc3,10/13/2022 8:33:29 PM,397209.288769923,140029.735434587
183,Tyler House Apartments,Ward 6,284,1995,"1200 North Capitol Street, NW",Washington,DC,20002,SHNIR Apt. Mgmt,"Ido Roizman, 610-278-1733, ido@roizman.com","Roizman Development, Inc. ","Tyler Roizman, tyler@roizman.com",CEDE & CO,Active,Non Risk Share,2015,High Rise 8 Floors,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,HAP Contract,7/10/2013 12:00:00 AM,45760000,6/15/2031,7/6/2028 12:00:00 AM,Sidney,38.90639569,-77.00943379,237128,abc1a293-21f9-43f2-9e24-2f067400dd6b,10/13/2022 8:33:29 PM,399181.948231084,137614.452353947
184,Urban Village ,Ward 1,72,,"3403 16th Street, NW",Washington,DC,20010,"Eagle Point Management, LLC",Santiago DeAngulo,Somerset Development ,,,Redeemed,,,Low Rise 3 Floors ,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,,7/1/2003 12:00:00 AM,6325000,,6/27/2018 12:00:00 AM,Clarence,38.93403385,-77.03603426,284657,0183dc1f-b4d8-40d5-b5c4-553a067fa84f,10/13/2022 8:33:29 PM,396875.939210793,140683.094757554
185,Villages at Chesapeake (Southern Court),Ward 8,118,1973,"845 Southern Avenue, SE",Washington,DC,20032,Vesta,"Charlene Matthews, cmatthews@vestacorp.com",Vesta Corporation,"Katherine Arzt, karzt@vestacorp.com",CEDE & CO,Active,Non Risk Share,2010,Garden,Acquisition / Rehab / New Construction,Residential Families 100 @ 60% AMI or less,HCV,4/1/2010 12:00:00 AM,10960000,4/1/2042,3/28/2025 12:00:00 AM,Sidney,38.82816784,-76.99326809,288996,3254ea99-33b7-465d-91a2-6f925c6af364,10/13/2022 8:33:29 PM,400584.737694839,128930.563734818
186,Wah Luck,Ward 2,153,1982,"800 6th Street, NW",Washington,DC,20001,Arco Management,Fan Zhang 202-289-5338,"Wah Luck House Preservation LLC, ","Jeff Cordisco, jcordisco@nfahs.com",,Active,Non Risk Share,2017,High Rise 10 Floors,Acquisition / Rehab / New Construction,Residential Families 100 @ 60% AMI,HAP Contract,12/21/2017 12:00:00 AM,39000000,2/1/2020,12/17/2032 12:00:00 AM,Clarence,38.90022874,-77.02018939,279939,09c0840a-09eb-473c-b1bf-9b4842c309c7,10/13/2022 8:33:29 PM,398248.898352471,136930.022602368
187,Walbraff,Ward 1,28,,"3025 15th Street, NW",Washington,DC,20009,NMI Properties,Angela Ferguson aferguson@nmipm.com,,,,Redeemed,,1999,,,Residential Families 100 @ 60% AMI or less,,9/1/1999 12:00:00 AM,2000000,,8/28/2014 12:00:00 AM,,38.92781415,-77.03537445,234364,dca4b7a5-1dea-4bd3-a4ca-9aea63c35453,10/13/2022 8:33:29 PM,396932.878795072,139992.632091857
188,Wardman Court (Clifton Terrace),Ward 1,152,1918,"1312 Clifton Street, NW",Washington,DC,20009,Interstate Realty,"Andrew Brown, abrown@irm.themichelsorg.com, 202-518-3030",The Michaels Development Company ,"Michael Pilla, 856-810-5359",BANK OF AMERICA CAPITAL MARKETS SERVICING GROUP,Active,Non Risk Share,2001,Mid Rise 7 Floors,Acquisition / Rehab / New Construction,"Seniors, Residential Families 100 @ 60% or less",,12/30/1998 12:00:00 AM,12000000,,12/26/2013 12:00:00 AM,Clarence,38.92171095,-77.0308179,232075,b70b8350-7b22-4a0a-852e-7faa670cd703,10/13/2022 8:33:29 PM,397327.748598697,139314.981826785
189,Waterfront Station Apts ,Ward 6,449,2022,1000 4th Street SW,Washington ,DC,,Bozzuto Management Company,,AHC Inc. and Hoffman & Associates,,Fannie Mae/Merchants Bank(Perm)/ The Richman Group as (Investor),Under Construction,Non Risk Share,2022,High Rise 11 Floors,New Construction,"Residential Families 15% @ 30%, 15% @50% AMI & 70% Market Rate ",AHC  - Tenant Services/ ,10/8/2021 12:00:00 AM,15650000,,10/4/2036 12:00:00 AM,Sidney,38.87838266,-77.01708548,307103,6687a0b5-e850-4594-a2b1-133bf5121d1d,10/13/2022 8:33:29 PM,398517.688646461,134504.882753281
190,WDC -1 aka Villages of East River,Ward 7,202,1963,"305 37th Street, SE",Washington,DC,20019,,,WDC-1 Limited Partnership c/o Transom Development ,mphillbin@winnco.com,,Redeemed,Non Risk Share,,Garden,,Residential Families 100 @ 60% AMI or less,,11/19/2012 12:00:00 AM,4460000,,11/16/2027 12:00:00 AM,Sidney,38.88541816,-76.95333673,41307,beb3adce-783d-4921-8bed-40fd671fbc3d,10/13/2022 8:33:29 PM,404048.776849434,135286.772881729
191,Webster Gardens,Ward 4,52,1921,"126 Webster Street, NW",Washington,DC,20011,Habitat  America,Chandra Brown - manager353@habitatamerica.com,Somerset Development ,"Matt Allan , mallan@somersetdev.com",CEDE & CO,Active,Non Risk Share,2011,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,LRSP,4/14/2010 12:00:00 AM,6060000,4/1/2044,4/10/2025 12:00:00 AM,Sidney,38.94407227,-77.01302937,244504,b057f173-6b2b-4119-b7c6-de6b8c3b06b9,10/13/2022 8:33:29 PM,398870.678796038,141796.911616487
